Date,Open,High,Low,Close,Volume
1/1/2020,101.7640523,100.1609282,99.49464168,99.90975615,101.7612661
1/2/2020,102.1712685,99.96996786,98.68297281,100.6407548,102.5286434
1/3/2020,103.1712576,99.57523693,98.18213935,100.5748468,101.8878113
1/4/2020,105.4832152,99.30864062,97.14938097,100.9250175,101.4900487
1/5/2020,107.4531755,98.1884279,99.57539569,101.5944108,101.6042834
1/6/2020,106.4030593,98.46378921,97.33960777,100.4721821,100.9382216
1/7/2020,107.4139825,97.48592207,97.88861147,100.4410998,101.0063719
1/8/2020,107.2514037,98.30639407,96.63118106,102.0269293,101.7918017
1/9/2020,107.1407,98.06116033,96.53035271,101.2153045,101.7554185
1/10/2020,107.5806181,98.10969568,95.57663095,100.6419807,102.0973327
1/11/2020,107.7355811,98.59419744,94.45109286,100.3323141,103.0024169
1/12/2020,109.3023511,99.22846818,93.374165,100.6022322,102.7221146
1/13/2020,110.1341832,97.66996263,95.01286866,101.1303113,103.0146576
1/14/2020,110.268189,97.46787988,94.88651255,102.4120486,102.6959533
1/15/2020,110.757629,98.32577161,94.15996444,102.923595,102.6666553
1/16/2020,111.1271987,96.65609596,94.68329325,102.8597277,102.3332656
1/17/2020,112.787527,97.03042615,94.69309232,104.1549036,101.7920558
1/18/2020,112.556134,94.84184256,95.37491455,104.8882697,101.9688807
1/19/2020,112.9085109,93.87207823,93.63503133,103.3194774,102.5465806
1/20/2020,111.9441641,93.90834153,93.91931094,105.9297078,102.6966108
1/21/2020,109.086241,92.35254786,94.6450206,107.8045804,103.2087865
1/22/2020,109.799249,91.44240358,93.07240056,107.6232378,102.447176
1/23/2020,110.7483934,90.09652227,93.48954667,108.0299569,101.2139833
1/24/2020,109.9264576,91.58143453,95.07529913,109.460661,101.6360897
1/25/2020,112.4215185,91.73183666,95.06117313,109.2721689,102.3352254
1/26/2020,110.7864985,92.25222246,95.84201125,110.0702402,102.386247
1/27/2020,110.8371927,92.04679973,96.48469945,111.2860523,103.7664502
1/28/2020,110.6297234,91.72147711,95.80206471,110.1566926,104.708337
1/29/2020,112.3254328,90.23882311,95.84016206,109.4931838,107.5151182
1/30/2020,113.9758964,89.97547251,94.33835179,110.5020632,107.2992187
1/31/2020,114.1524991,89.29031629,93.91259994,111.0112727,106.2274617
2/1/2020,114.5841811,90.05635928,94.16211443,112.036791,105.4412332
2/2/2020,113.5669191,91.08399407,94.84300114,111.8882661,104.8449653
2/3/2020,111.3173896,92.41981255,94.86634402,111.5649031,105.3440603
2/4/2020,110.9301028,93.20773945,95.54936626,109.3351229,103.0706632
2/5/2020,111.1035409,92.64974765,94.49554637,108.082142,104.4297025
2/6/2020,112.4704374,91.61587191,94.39944697,108.133012,104.1798058
2/7/2020,113.8227593,92.31825706,94.4176466,109.0246306,103.9226967
2/8/2020,113.3818932,92.64718038,96.16398713,109.6037458,102.8010142
2/9/2020,113.0391366,91.00867938,95.95803593,109.4631878,102.6835892
2/10/2020,111.8538614,91.33219866,95.47918937,109.165698,102.6971842
2/11/2020,110.2655165,92.07611752,95.49957534,109.4027837,102.5719502
2/12/2020,108.3840889,92.13037392,94.62182591,109.4883489,102.9197299
2/13/2020,110.498419,91.95988328,94.80421312,111.0261626,102.3128822
2/14/2020,109.9352614,91.21717067,94.45812539,111.1887501,101.3963473
2/15/2020,109.4536633,89.89768265,92.76607097,109.5417713,101.952332
2/16/2020,108.0824329,90.61713196,92.71172253,108.1477885,102.0529258
2/17/2020,108.9227634,90.33702131,92.41732286,109.7902932,102.2541548
2/18/2020,107.1648612,90.12611448,90.90868094,108.5044727,103.3370542
2/19/2020,106.9368784,91.68774877,90.84765017,109.3339866,102.2803663
2/20/2020,105.9792944,92.31535242,92.20069506,109.040564,101.4056232
2/21/2020,106.389331,92.65768083,92.68134074,108.8554586,102.6805146
2/22/2020,105.8458888,92.789312,93.24848307,108.7094477,101.1578823
2/23/2020,104.5962382,94.19970478,91.99755772,110.0372086,99.83330874
2/24/2020,104.5667606,95.81955283,92.43629258,109.8250108,100.6498073
2/25/2020,105.0146534,96.71020047,92.57351386,109.7884179,100.8895553
2/26/2020,105.0845062,97.27327104,93.06326963,108.107773,100.9957235
2/27/2020,105.4023573,95.23578211,93.45658165,108.3312215,100.9031515
2/28/2020,104.7337669,95.35360965,92.18577706,108.9065063,100.9347014
2/29/2020,104.3538544,95.22954797,92.1476114,109.1669514,100.8417283
3/1/2020,103.652116,95.31901921,91.44925151,110.6929921,102.2085802
3/2/2020,103.2794315,96.21792149,91.40344998,110.754063,101.8016386
3/3/2020,102.4396187,93.58186106,90.58319457,111.0851926,101.6373577
3/4/2020,100.6712213,93.04908825,91.77207216,112.9164365,103.4611881
3/5/2020,100.8498384,93.30023179,90.9837754,111.1662157,103.4896499
3/6/2020,100.444643,92.86466381,90.16588388,110.6594919,105.7995559
3/7/2020,98.80719608,91.54885871,90.23313538,112.2376719,105.6884878
3/8/2020,99.26445825,92.34438487,89.26123511,113.2883615,107.133688
